"gameId","playId","snapFrame","catchFrame","kickDir","returnYds","specialTeamsResult"
2018123000,892,11,76,"R",0,"Fair Catch"
2018123000,2502,11,75,"C",37,"Return"
2018123000,2975,11,76,"R",0,"Fair Catch"
2018123000,3106,11,94,"L",8,"Return"
2018123000,4148,11,76,"L",1,"Return"
2018123001,1223,11,94,"C",0,"Return"
2018123001,1326,11,66,"L",8,"Return"
2018123001,1445,11,79,"R",0,"Fair Catch"
2018123001,1538,11,65,"C",1,"Return"
2018123001,2289,11,82,"C",9,"Return"
2018123001,3338,11,81,"R",0,"Fair Catch"
2018123002,1499,11,75,"L",0,"Fair Catch"
2018123002,2362,11,78,"C",25,"Return"
2018123002,2503,11,69,"C",0,"Fair Catch"
2018123002,3146,11,74,"C",0,"Return"
2018123003,1209,11,78,"C",11,"Return"
2018123003,1560,11,78,"C",1,"Return"
2018123003,2252,11,86,"L",0,"Fair Catch"
2018123003,2679,11,81,"C",0,"Fair Catch"
2018123003,2867,11,73,"C",0,"Fair Catch"
2018123003,3020,11,82,"R",0,"Fair Catch"
2018123003,3377,11,80,"C",30,"Return"
2018123003,3512,11,74,"L",0,"Fair Catch"
2018123004,465,10,76,"R",0,"Fair Catch"
2018123005,639,11,89,"C",0,"Fair Catch"
2018123005,1649,11,83,"C",0,"Fair Catch"
2018123005,2386,11,81,"L",0,"Fair Catch"
2018123006,217,11,69,"R",0,"Fair Catch"
2018123006,2157,11,71,"L",0,"Return"
2018123006,2774,11,77,"L",0,"Fair Catch"
2018123006,3725,11,78,"R",0,"Fair Catch"
2018123007,586,11,73,"R",0,"Fair Catch"
2018123007,2290,11,79,"C",0,"Fair Catch"
2018123008,394,11,76,"R",0,"Fair Catch"
2018123009,290,11,80,"R",0,"Fair Catch"
2018123009,756,11,74,"C",10,"Return"
2018123009,1176,11,74,"C",1,"Return"
2018123009,1968,11,73,"C",0,"Fair Catch"
2018123009,2354,11,77,"C",0,"Fair Catch"
2018123009,2752,11,76,"C",0,"Fair Catch"
2018123010,823,11,82,"C",0,"Fair Catch"
2018123010,1005,11,76,"C",0,"Fair Catch"
2018123010,3345,11,80,"L",0,"Fair Catch"
2018123011,1664,11,74,"L",0,"Fair Catch"
2018123011,2663,11,75,"L",0,"Fair Catch"
2018123011,2834,11,79,"C",0,"Return"
2018123012,608,11,74,"R",2,"Return"
2018123012,1090,11,64,"R",0,"Fair Catch"
2018123012,2104,11,75,"L",0,"Fair Catch"
2018123012,2939,10,67,"C",11,"Return"
2018123013,585,11,79,"L",0,"Return"
2018123013,1003,11,76,"C",0,"Return"
2018123013,1221,11,76,"L",0,"Fair Catch"
2018123013,2461,11,74,"C",0,"Fair Catch"
2018123013,2717,11,74,"R",0,"Fair Catch"
2018123015,127,11,75,"C",0,"Fair Catch"
2018123015,1397,11,75,"R",0,"Fair Catch"
2018123015,1714,11,73,"R",45,"Return"
2018123015,2395,11,79,"L",0,"Fair Catch"
2018122200,723,11,73,"R",0,"Fair Catch"
2018122200,2175,11,77,"L",0,"Fair Catch"
2018122201,1205,11,78,"C",19,"Return"
2018122201,3009,11,78,"C",0,"Fair Catch"
2018122201,3184,11,80,"C",0,"Fair Catch"
2018122201,3278,11,79,"C",9,"Return"
2018122300,133,11,78,"C",0,"Return"
2018122300,2330,11,77,"C",0,"Fair Catch"
2018122302,979,10,70,"L",0,"Fair Catch"
2018122302,1142,11,77,"C",1,"Return"
2018122302,1582,11,76,"R",0,"Fair Catch"
2018122302,2134,11,72,"L",0,"Fair Catch"
2018122302,3526,11,81,"L",0,"Fair Catch"
2018122304,1058,11,80,"C",0,"Fair Catch"
2018122304,2774,11,75,"L",0,"Fair Catch"
2018122304,3433,11,80,"L",13,"Return"
2018122305,461,11,79,"C",0,"Fair Catch"
2018122305,2147,11,73,"C",0,"Fair Catch"
2018122306,1516,11,81,"R",0,"Fair Catch"
2018122306,1655,11,76,"L",0,"Fair Catch"
2018122306,3864,11,78,"C",0,"Fair Catch"
2018122307,597,11,79,"C",9,"Return"
2018122307,2815,11,80,"R",0,"Fair Catch"
2018122307,2930,11,79,"R",5,"Return"
2018122307,3651,11,77,"C",0,"Fair Catch"
2018122308,1216,11,71,"C",12,"Return"
2018122308,2282,11,79,"L",8,"Return"
2018122309,341,11,71,"C",12,"Return"
2018122309,928,11,76,"C",0,"Fair Catch"
2018122309,3309,11,73,"R",0,"Fair Catch"
2018122310,128,11,66,"L",11,"Return"
2018122310,2622,11,72,"C",0,"Fair Catch"
2018122311,2312,11,76,"L",0,"Fair Catch"
2018122311,3616,11,77,"C",26,"Return"
2018122312,2235,11,75,"C",0,"Fair Catch"
2018122312,3108,11,78,"L",0,"Fair Catch"
2018122313,3416,11,79,"R",0,"Fair Catch"
2018122314,117,11,79,"C",3,"Return"
2018122400,241,11,116,"C",99,"Return"
2018122400,1120,11,78,"L",0,"Fair Catch"
2018122400,2313,11,78,"C",0,"Fair Catch"
2018122400,2569,10,78,"L",0,"Fair Catch"
2018122400,3753,11,79,"C",0,"Fair Catch"
2018121300,2707,11,75,"L",0,"Fair Catch"
2018121500,2280,11,79,"C",10,"Return"
2018121500,2599,11,81,"C",12,"Return"
2018121500,2721,11,77,"C",4,"Return"
2018121500,2942,11,82,"R",0,"Fair Catch"
2018121501,118,11,80,"C",1,"Return"
2018121501,1066,11,82,"C",0,"Fair Catch"
2018121501,2166,11,77,"C",8,"Return"
2018121600,1794,11,75,"C",0,"Fair Catch"
2018121600,3673,11,80,"R",0,"Return"
2018121600,3776,11,88,"C",0,"Fair Catch"
2018121601,3369,11,75,"C",12,"Return"
2018121602,519,11,76,"L",0,"Fair Catch"
2018121602,688,10,68,"C",0,"Fair Catch"
2018121602,1911,10,73,"L",0,"Return"
2018121602,2230,11,78,"C",0,"Fair Catch"
2018121602,2468,11,76,"C",0,"Fair Catch"
2018121602,2574,11,80,"C",10,"Return"
2018121602,3915,11,76,"L",0,"Fair Catch"
2018121603,937,11,74,"C",0,"Fair Catch"
2018121604,1023,11,76,"C",0,"Fair Catch"
