"gameId","playId","gunnerTeam","gunnerId","gunnerName","viseTeam","viseId","viseName","timeToBeatVise","firstManDown","disFromLOS","disFromReturner","speedDev","topSpeed","tackle","missedTackle","squeezeDis","returnYds","specialTeamsResult","release","correctRelease"
2018123000,892,"CLE",46672,"Tavierre Thomas","BAL",46187,"Anthony Averett",4.1,1,40.55,13.2930997137613,3.14202488791391,10.41,0,0,NA,0,"Fair Catch",0,1
2018123000,892,"CLE",43407,"Juston Burris","BAL",43498,"Maurice Canady",6.5,0,40.92,6.6760766921898,2.73548730866199,9.12,0,0,NA,0,"Fair Catch",0,0
2018123000,2502,"BAL",43498,"Maurice Canady","CLE",46672,"Tavierre Thomas",10.5,0,33.48,26.7728705969308,2.89076898705837,8.55,0,0,13.0428260869565,37,"Return",0,0
2018123000,2502,"BAL",43396,"Chris Moore","CLE",43407,"Juston Burris",9.8,1,33.64,19.0732404168772,2.97338975491196,9.62,0,0,13.0428260869565,37,"Return",1,1
2018123000,2975,"CLE",46672,"Tavierre Thomas","BAL",46187,"Anthony Averett",4.6,1,38.23,14.9300837238108,3.53111708653053,10.48,0,0,NA,0,"Fair Catch",0,1
2018123000,2975,"CLE",43407,"Juston Burris","BAL",43498,"Maurice Canady",5.4,0,42.19,3.32280002407608,2.70136198057879,9.57,0,0,NA,0,"Fair Catch",0,0
2018123000,3106,"BAL",46187,"Anthony Averett","CLE",46672,"Tavierre Thomas",9.3,0,48.45,8.26623251548128,2.75433559028123,8.65,0,0,4.22,8,"Return",0,1
2018123000,3106,"BAL",43498,"Maurice Canady","CLE",43407,"Juston Burris",8.6,1,27.92,31.8277928860925,2.47170099215237,8.02,0,0,4.22,8,"Return",1,1
2018123000,4148,"BAL",43498,"Maurice Canady","CLE",46672,"Tavierre Thomas",NA,0,41.27,8.84200203573829,3.21662536176483,9.76,0,0,3.85227272727273,1,"Return",0,0
2018123000,4148,"BAL",46187,"Anthony Averett","CLE",43407,"Juston Burris",4.6,1,35.09,28.9882407192986,3.40003486887372,9.73,0,0,3.85227272727273,1,"Return",0,1
