"gunnerId","gunnerName","gunnerTeam","timeToBeatVise","squeezeDis","disFromReturner","disFromLOS","missedTackle","speedDev","exReturnYds","returnYds","playCount"
46672,"Tavierre Thomas","CLE",5.93469387755102,1.31617201432709,7.50574794279567,39.0432653061224,0.0204081632653061,2.6472667387724,4.59501310913147,3.18367346938776,49
43396,"Chris Moore","BAL",6.17647058823529,-1.39245096355239,7.89267312591269,38.0897058823529,0.0588235294117647,2.89349293020741,6.1472376611149,6,34
41354,"Walt Aikens","MIA",7.13137254901961,-0.177522147889848,9.90796462753119,40.8377777777778,0.0185185185185185,2.66601098206051,6.98710197006014,4.42592592592593,54
46223,"Siran Neal","BUF",6.48205128205128,2.02367508399555,8.28951019752797,37.847,0,2.76678160431275,5.273598603106,2.775,40
46278,"Cornell Armstrong","MIA",6.7,2.90811292381821,10.0038087386571,38.164,0,2.81098806186419,6.07759646240238,2.86666666666667,30
46778,"A.J. Moore","HOU",7.09827586206897,-1.15272308470929,10.4654704058152,38.6232258064516,0.032258064516129,2.7661019214593,7.27853882517622,3,62
39012,"Johnson Bademosi","HOU",6.33714285714286,0.379211176261915,10.1889447164616,36.235945945946,0,2.75251633518669,5.76773921839921,3.62162162162162,37
33234,"Matthew Slater","NE",5.96078431372549,1.95419850349904,6.5669694110651,40.4533333333333,0.0392156862745098,2.67435246701665,4.57630167302362,1.50980392156863,51
46273,"Trenton Cannon","NYJ",6.66388888888889,0.0861834838732922,8.92205342651136,39.9069444444444,0.0555555555555556,2.86537828303666,6.83648636960301,5.97222222222222,36
45648,"Justin Hardee","NO",5.76229508196721,-0.31320753460911,6.38275785154517,42.2511475409836,0.0327868852459016,2.85977601969542,5.76269065192639,1.09836065573771,61
42094,"C.J. Goodwin","DAL",5.68367346938776,-0.0106630348382543,7.53376621568045,40.0910204081633,0,2.89387277015205,5.67962925427826,2.73469387755102,49
45020,"Brandon Wilson","CIN",5.88,3.08126973080263,6.33704914097578,42.1311904761905,0.0952380952380952,2.9087260441743,5.47687249125101,1.88095238095238,42
38707,"Justin Bethel","ATL",5.22244897959184,0.373524121387989,7.26195312800331,40.8872,0.02,2.72332919930528,4.78503294347833,1.38,50
43397,"Ryan Smith","TB",5.515,-2.26131258557363,5.72919269332705,40.4369047619048,0,2.92377710895964,5.51726746864862,3.42857142857143,42
46221,"Dane Cruikshank","TEN",5.14615384615385,-2.7558853505764,9.93254457086339,38.7997619047619,0.0476190476190476,2.88350956808937,6.435605183252,4.52380952380952,42
46729,"Brandon Facyson","LAC",6.95,0.10552664593237,13.1074190482759,37.27,0.0909090909090909,2.71204785631051,7.52252114460499,5.36363636363636,33
43381,"Brandon Williams","ARI",6.628125,-0.55069280393736,10.2465776455429,43.2363636363636,0.0303030303030303,2.8691294990399,7.9968770300763,5.33333333333333,33
45021,"Rudy Ford","ARI",6.12325581395349,-1.4252281764403,7.9124939797655,40.803023255814,0.0232558139534884,2.95063211320885,6.77431911743394,2.81395348837209,43
43554,"Chris Milton","IND",6.07,-2.57956465944818,8.69730451189362,41.3902325581395,0,2.91400463301742,7.16187804725409,4.11627906976744,43
46329,"Danny Johnson","WAS",6.76764705882353,-0.994639660628824,10.8837223859805,37.65875,0.05,2.75930740591542,6.97782156077994,2.375,40
46312,"Keion Crossen","NE",5.68333333333333,-2.80010752149828,7.92828294515646,39.5602777777778,0.0555555555555556,2.91661432792652,6.41904071900296,1.47222222222222,36
35583,"Sherrick McManis","CHI",6.59473684210526,3.30521957498461,11.0057355551435,36.5235,0,2.66084030954442,5.43795209882089,2.6,40
46349,"George Odum","IND",6.80377358490566,-2.40230388674412,11.0878078192171,37.2041818181818,0.0181818181818182,2.58611202608374,6.58530889845173,3.32727272727273,55
39975,"Cordarrelle Patterson","NE",5.6325,2.84401313290865,6.78953597986448,41.66075,0.025,2.83357068345448,5.00454745145488,2.35,40
43986,"Antonio Hamilton","NYG",6.10952380952381,-0.655741505452069,9.45351743036409,40.6947619047619,0,2.7985570339047,6.56399899167736,2.5952380952381,42
46164,"Tarvarius Moore","SF",5.90645161290323,-1.23474379665478,6.36995848481753,38.8809677419355,0.0645161290322581,2.98127255357928,5.86117819065445,1.54838709677419,31
43680,"Charles Washington","DET",6.76078431372549,-1.33736893520301,9.46345697077247,39.8664150943396,0.0377358490566038,2.84905287229356,7.25786140141189,6.45283018867925,53
46671,"Trent Sherfield","ARI",5.93725490196078,-1.28896716439106,9.89072239807855,40.2917647058824,0,2.79724839629536,6.62398879320479,6.17647058823529,51
46378,"J.T. Gray","NO",5.51875,-0.922087042616301,8.29564176014841,40.1818461538462,0,2.67943485158085,5.2701810471247,0.8,65
46178,"Troy Apke","WAS",6.17647058823529,-1.85050140794451,11.4734128712668,36.54125,0.075,2.5359966051925,5.97217461161576,3.1,40
48118,"Ashton Dulin","IND",7.19393939393939,-3.23757746458909,8.21076441925499,41.6180555555556,0.0555555555555556,2.91640361795577,8.09979194856329,4.02777777777778,36
48505,"Brandon Watson","JAX",6.91,1.08065729575457,11.1657131961395,41.2235483870968,0.0645161290322581,2.53401743825243,6.7418606047568,4.58064516129032,31
44931,"Mack Hollins","MIA",5.86451612903226,-1.93496240597427,5.95368431377685,39.226875,0.03125,2.75174068986994,5.02441480785392,4.21875,32
48241,"Keisean Nixon","OAK",5.505,-0.476628616572672,7.90246221980271,40.61675,0.05,3.03662114889716,6.4585557276938,3,40
47915,"Ugo Amadi","SEA",6.159375,-4.23526841738687,9.11452700310039,38.6081818181818,0.0303030303030303,2.7585392140637,6.66176770054196,1.42424242424242,33
47866,"Justin Layne","PIT",5.86578947368421,-1.76590920700986,10.5645314951334,39.3735714285714,0.0238095238095238,2.77724522075279,6.69408338481327,3.21428571428571,42
48784,"Nsimba Webster","LA",7.21,2.3164505309904,9.12667249883017,42.4067741935484,0.032258064516129,2.84422610669246,7.26005639678866,5.48387096774194,31
